class_id,support,precision,recall,f1
0,98,0.571429,0.653061,0.609524
1,100,0.380282,0.540000,0.446281
2,100,0.290323,0.090000,0.137405
3,100,0.408805,0.650000,0.501930
4,100,0.388889,0.420000,0.403846
5,100,0.648649,0.720000,0.682464
6,100,0.662791,0.570000,0.612903
7,88,0.638889,0.784091,0.704082
8,99,0.495868,0.606061,0.545455
9,100,0.534653,0.540000,0.537313
10,100,0.230769,0.180000,0.202247
11,97,0.815534,0.865979,0.840000
12,100,0.344000,0.430000,0.382222
13,100,0.520661,0.630000,0.570136
14,100,0.590164,0.720000,0.648649
15,100,0.762712,0.450000,0.566038
16,100,0.513514,0.570000,0.540284
17,100,0.643478,0.740000,0.688372
18,99,0.816092,0.717172,0.763441
19,100,0.772727,0.680000,0.723404
20,100,0.520408,0.510000,0.515152
21,100,0.576471,0.490000,0.529730
22,100,0.545455,0.720000,0.620690
23,100,0.633333,0.380000,0.475000
24,100,0.756757,0.560000,0.643678
25,100,0.763158,0.580000,0.659091
26,100,0.550847,0.650000,0.596330
27,100,0.537500,0.430000,0.477778
28,100,0.598361,0.730000,0.657658
29,100,0.573248,0.900000,0.700389
30,99,0.562500,0.272727,0.367347
31,100,0.709677,0.660000,0.683938
32,100,0.638298,0.600000,0.618557
33,100,0.520000,0.780000,0.624000
34,89,0.384615,0.224719,0.283688
35,100,0.681818,0.300000,0.416667
36,100,0.653061,0.640000,0.646465
